id,试卷名称,试题简介,words
0,第1节　长度和时间的测量,(柳州中考)一个中学生的身高约为(),长度 时间 测量 柳州 中考 一个 中学生 身高
1,第1节　长度和时间的测量,下列长度单位换算正确的是(),长度 时间 测量 下列 长度 单位 换算 正确
2,第1节　长度和时间的测量,"初中生小红想对比测量一个月前后自己的身高变化,选用下列哪种尺最合适()",长度 时间 测量 初中生 小红想 对比 测量 一个月 前后 自己 身高 变化 选用 下列 哪种 最合适
3,第1节　长度和时间的测量,如图所示测量木块长度的方法中正确的是(),长度 时间 测量 如图所示 测量 木块 长度 方法 正确
4,第1节　长度和时间的测量,下列各个过程中经历的时间最接近1秒的是(),长度 时间 测量 下列 各个 过程 经历 时间 接近
5,第1节　长度和时间的测量,"物理实验室中,常用的测量时间的工具是()",长度 时间 测量 物理 实验室 常用 测量 时间 工具
6,第1节　长度和时间的测量,"图为小组同学学习长度测量后讨论交流的情境,下列关于误差说法中正确的是()",长度 时间 测量 图为 小组 同学 学习 长度 测量 讨论 交流 情境 下列 关于 误差 说法 正确
7,第1节　长度和时间的测量,"在测量物体长度时,由于下列原因造成测量结果有差异,其中属于误差的是()",长度 时间 测量 测量 物体 长度 由于 下列 原因 造成 测量 结果 差异 其中 属于 误差
8,第1节　长度和时间的测量,下列估计的数据与实际最接近的是(),长度 时间 测量 下列 估计 数据 实际 接近
9,第1节　长度和时间的测量,"某同学测得物理课本长为25.91 cm,宽为18.35 cm,那么他所用刻度尺的分度值为()",长度 时间 测量 同学 物理 课本 长为 25.91 cm 宽为 18.35 cm 那么 所用 刻度尺 分度 值为
10,第1节　长度和时间的测量,"(北京中考)中华人民共和国的国旗为长方形五星红旗,如图是天安门广场升旗仪式的场景,根据图片提供的信息估测...",长度 时间 测量 北京 中考 中华人民共和国 国旗 长方形 五星红旗 如图 天安门广场 升旗仪式 场景 根据 图片 提供 信息 估测 ...
11,第2节　运动的描述,"机械运动是自然界最普遍的一种运动,如图所示的各种运动中,不属于机械运动的是()",运动 描述 机械运动 自然界 普遍 一种 运动 如图所示 各种 运动 属于 机械运动
12,第2节　运动的描述,"关于参照物,下列说法正确的是()",运动 描述 关于 参照物 下列 说法 正确
13,第2节　运动的描述,"(长春中考)端午节当天,小明和爸爸、妈妈去南湖游玩,他们坐在行驶的船中,观赏南湖的景色,小明认为爸爸是运动...",运动 描述 长春 中考 端午节 当天 小明 爸爸 妈妈 南湖 游玩 他们 坐在 行驶 观赏 南湖 景色 小明 认为 爸爸 运动 ...
14,第2节　运动的描述,"(益阳中考)某大学两位研究生从蚂蚁身上得到启示,设计出如图所示的“都市蚂蚁”概念车.这款概念车...",运动 描述 益阳 中考 某大学 两位 研究生 蚂蚁 身上 得到 启示 设计 如图所示 都市 蚂蚁 概念车 这款 概念车 ...
15,第2节　运动的描述,"关于运动和静止,下列说法正确的是()",运动 描述 关于 运动 静止 下列 说法 正确
16,第2节　运动的描述,下列说法正确的是(),运动 描述 下列 说法 正确
17,第2节　运动的描述,"(郴州中考)你也许有过这样的体验:甲、乙两列火车并排停在站台上,你坐在甲车车厢向乙车车厢观望,如图所示,突...",运动 描述 郴州 中考 也许 有过 这样 体验 两列 火车 并排 站台 坐在 甲车 车厢 乙车 车厢 观望 如图所示 ...
18,第2节　运动的描述,"(武汉中考)2017年4月22日,天舟一号货运飞船与天宫二号空间实验室首次完成自动交会对接,如图所示,“天...",运动 描述 武汉 中考 2017 22 天舟 一号 货运 飞船 天宫 二号 空间 实验室 首次 完成 自动 交会 对接 如图所示 ...
19,第1节　长度和时间的测量,在下列数据后填上合适的单位. (1)教室的长度约为850_______ (2)一根头发的直径约为70_______,长度 时间 测量 下列 数据 填上 合适 单位 教室 长度 850 _______ 一根 头发 直径约 70 _______
20,第1节　长度和时间的测量,"(株洲中考)图中刻度尺的分度值_______mm,木条的长度为_______cm.",长度 时间 测量 株洲 中考 图中 刻度尺 分度 _______ mm 木条 长度 _______ cm
21,第1节　长度和时间的测量,"市场上有一款PM2.5检测仪,它可测量空气中直径范围为0.3~2.5 μm的颗粒物浓度,即它可测出最小直径为_______m...",长度 时间 测量 市场 一款 pm2.5 检测仪 测量 空气 直径 范围 0.3 2.5 颗粒物 浓度 测出 最小 直径 _______ ...
22,第1节　长度和时间的测量,"(贵港中考)如图1所示,所测物体的长度是_______cm.如图2所示,停表显示的时间是_______s.",长度 时间 测量 贵港 中考 如图 所示 所测 物体 长度 _______ cm 如图 所示 停表 显示 时间 _______
23,第1节　长度和时间的测量,"如图所示,用A、B两把刻度尺测量同一物体的长度,准确程度较高的是_______刻度尺,最接近物体长度真实值的读数...",长度 时间 测量 如图所示 两把 刻度尺 测量 同一 物体 长度 准确 程度较高 _______ 刻度尺 接近 物体 长度 真实 读数 ...
24,第1节　长度和时间的测量,"同一长度的五次测量结果记录为:25.1 mm,25.2 mm,25.1 mm,27.2 mm,25.3 mm,其中记录明显错误的一次是_______...",长度 时间 测量 同一 长度 五次 测量 结果 记录 25.1 mm 25.2 mm 25.1 mm 27.2 mm 25.3 mm 其中 记录 明显 错误 一次 _______...
25,第2节　运动的描述,"公路上飞驰而过的汽车、水里游动的鱼、天空飞翔的雄鹰,它们的位置都发生了_______物理学中称这种现象为____...",运动 描述 公路 飞驰 汽车 水里游 天空 飞翔 雄鹰 它们 位置 发生 _______ 物理学 中称 这种 现象 ____...
26,第2节　运动的描述,"在商场里,妈妈和5岁的小东正乘自动扶梯下楼.小东拉着妈妈的手说:“妈妈,我们跑下去吧!”妈妈说:&...",运动 描述 商场 妈妈 小东 自动扶梯 下楼 小东拉着 妈妈 妈妈 我们 跑下去 妈妈 &...
27,第2节　运动的描述,"(攀枝花中考)小华和妈妈在仁和区湿地公园骑双人自行车游玩,小华认为自己是静止的,他是以_______为参照物,但...",运动 描述 攀枝花 中考 小华 妈妈 仁和区 湿地 公园 双人 自行车 游玩 小华 认为 自己 静止 _______ 参照物 ...
28,第2节　运动的描述,"“枯藤老树昏鸦,小桥流水人家”给人冷落暗淡的气氛,又显示出一种清新幽静的境界.如图所示,&ldquo...",运动 描述 枯藤 昏鸦 小桥流水 人家 冷落 暗淡 气氛 显示 一种 清新 幽静 境界 如图所示 ldquo ...
29,第2节　运动的描述,"随着城市建设的加快,城市交通大为改善.在南京“中山北路”平直的快车道上,有三辆汽车正同向顺风...",运动 描述 随着 城市 建设 加快 城市交通 大为 改善 南京 中山北路 平直 快车道 三辆 汽车 正同 顺风 ...
30,第2节　运动的描述,"小明喜欢打篮球,更喜欢观看电视转播的CBA比赛.他发现:运动员始终处于电视屏幕上,但我们却感觉运动员在球场...",运动 描述 小明 喜欢 打篮球 喜欢 观看 电视转播 cba 比赛 发现 运动员 始终 处于 电视屏幕 我们 感觉 运动员 球场 ...
31,第2节　运动的描述,"如图所示为学校运动会接力赛交接棒情景,小铭同学发现在4×100 m 的接力赛交接棒的过程中有两种交接方式: 第...",运动 描述 如图所示 学校 运动会 接力赛 交接 情景 小铭 同学 发现 100 接力赛 交接 过程 中有 两种 交接 方式 ...
32,章末复习,"(泉州中考)小蒋同学参加中考体育测试,结果最可能达到的是()",章末 复习 泉州 中考 小蒋 同学 参加 中考 体育 测试 结果 可能 达到
33,章末复习,"如图是用厚刻度尺测量木块的长度,其中正确的测量图是()",章末 复习 如图 刻度尺 测量 木块 长度 其中 正确 测量 图是
34,章末复习,"(扬州中考)如图所示,菲菲和翔翔坐在车厢内,观察判断火车的运动情况.菲菲:以窗外的动车为参照物,火车的位置...",章末 复习 扬州 中考 如图所示 菲菲和翔翔 坐在 车厢 观察 判断 火车 运动 情况 菲菲 窗外 动车 参照物 火车 位置 ...
35,章末复习,"(淮安中考)周末,小明乘坐“今世缘”号有轨电车去周恩来纪念馆参观,在有轨电车行驶过程中,小明觉...",章末 复习 淮安 中考 周末 小明 乘坐 今世 有轨电车 周恩来 纪念馆 参观 有轨电车 行驶 过程 小明觉 ...
36,章末复习,"(成都中考改编)小李每天坚持用“微信运动”来统计当天行走的步数,如图为她在6月12日的步行情况....",章末 复习 成都 中考 改编 小李 每天 坚持 微信 运动 统计 当天 行走 步数 如图 12 步行 情况 ....
37,章末复习,"(河北中考)平直公路上并排停放着两辆汽车,一段时间后,坐在甲车上的小明感觉乙车向北运动,关于两辆汽车的运...",章末 复习 河北 中考 平直 公路 并排 停放 两辆 汽车 一段时间 坐在 车上 小明 感觉 乙车 运动 关于 两辆 汽车 ...
38,章末复习,(黄石中考)湖北省第十四届中学生运动会于5月17至27日在秀美山水宜居名城——湖北·黄石成功举行.在百...,章末 复习 黄石 中考 湖北省 第十四届 中学生 运动会 17 27 秀美 山水 宜居 名城 湖北 黄石 成功 举行 ...
39,章末复习,"(咸宁中考)如图是某物体做直线运动时的路程随时间变化的图象,由图象判断下列说法错误的是()",章末 复习 咸宁 中考 如图 物体 直线运动 路程 时间 变化 图象 图象 判断 下列 说法 错误
40,第3节　运动的快慢,"观看百米赛跑时运动员们到达终点前,观众判断谁跑得快的根据是()",运动 快慢 观看 百米赛跑 运动员 到达 终点 观众 判断 跑得快 根据
41,第3节　运动的快慢,"(湖州中考)下列体育项目中,以“速度”这一物理量作为评定标准的是()",运动 快慢 湖州 中考 下列 体育项目 速度 这一 物理量 作为 评定 标准
42,第3节　运动的快慢,"空中加油机给战斗机进行加油,如果战斗机在加油时,2 s内飞行了0.4 km.则在加油时,空中加油机的速度为()",运动 快慢 空中 加油机 战斗机 进行 加油 如果 战斗机 加油 飞行 0.4 km 加油 空中 加油机 速度
43,第3节　运动的快慢,"现在陆地上跑得最快的动物是猎豹,在水中游得最快的动物是旗鱼,在空中飞得最快的动物是褐海燕,如图所示是三...",运动 快慢 现在 陆地 最快 动物 猎豹 中游 最快 动物 旗鱼 空中 最快 动物 海燕 如图所示 ...
44,第3节　运动的快慢,下列物体的运动可近似看作匀速直线运动的是(),运动 快慢 下列 物体 运动 近似 看作 匀速直线 运动
45,第3节　运动的快慢,"(天门中考)关于平均速度,下列叙述中错误的是()",运动 快慢 天门 中考 关于 平均速度 下列 叙述 错误
46,第3节　运动的快慢,"如图记录了甲、乙两辆汽车在平直公路上行驶时,在某段时间内的运动过程.关于甲、乙两车的运动情况,说法错误...",运动 快慢 如图 记录 两辆 汽车 平直 公路 行驶 段时间 运动 过程 关于 两车 运动 情况 说法 错误 ...
47,2019级16班物理第一周错题,"初中生小红想对比测量一个月前后自己的身高变化,选用下列哪种尺最合适()",2019 16 物理 第一周 错题 初中生 小红想 对比 测量 一个月 前后 自己 身高 变化 选用 下列 哪种 最合适
48,2019级16班物理第一周错题,下列各个过程中经历的时间最接近1秒的是(),2019 16 物理 第一周 错题 下列 各个 过程 经历 时间 接近
49,2019级16班物理第一周错题,"如图所示,用A、B两把刻度尺测量同一物体的长度,准确程度较高的是_______刻度尺,最接近物体长度真实值的读数...",2019 16 物理 第一周 错题 如图所示 两把 刻度尺 测量 同一 物体 长度 准确 程度较高 _______ 刻度尺 接近 物体 长度 真实 读数 ...
50,2019级16班物理第一周错题,"(贵港中考)如图1所示,所测物体的长度是_______cm.如图2所示,停表显示的时间是_______s.",2019 16 物理 第一周 错题 贵港 中考 如图 所示 所测 物体 长度 _______ cm 如图 所示 停表 显示 时间 _______
51,2019级16班物理第一周错题,"市场上有一款PM2.5检测仪,它可测量空气中直径范围为0.3~2.5 μm的颗粒物浓度,即它可测出最小直径为_______m...",2019 16 物理 第一周 错题 市场 一款 pm2.5 检测仪 测量 空气 直径 范围 0.3 2.5 颗粒物 浓度 测出 最小 直径 _______ ...
52,2019级16班物理第一周错题,"如图所示为学校运动会接力赛交接棒情景,小铭同学发现在4×100 m 的接力赛交接棒的过程中有两种交接方式: 第...",2019 16 物理 第一周 错题 如图所示 学校 运动会 接力赛 交接 情景 小铭 同学 发现 100 接力赛 交接 过程 中有 两种 交接 方式 ...
53,2019级16班物理第一周错题,"随着城市建设的加快,城市交通大为改善.在南京“中山北路”平直的快车道上,有三辆汽车正同向顺风...",2019 16 物理 第一周 错题 随着 城市 建设 加快 城市交通 大为 改善 南京 中山北路 平直 快车道 三辆 汽车 正同 顺风 ...
54,2019级16班物理第一周错题,"小明喜欢打篮球,更喜欢观看电视转播的CBA比赛.他发现:运动员始终处于电视屏幕上,但我们却感觉运动员在球场...",2019 16 物理 第一周 错题 小明 喜欢 打篮球 喜欢 观看 电视转播 cba 比赛 发现 运动员 始终 处于 电视屏幕 我们 感觉 运动员 球场 ...
