id,试卷名称,试题简介,word2vec
0,第1节　长度和时间的测量,(柳州中考)一个中学生的身高约为(),"[0.030937873758375645,-0.20446800347417593,0.07760335924103856,0.05660174344666302,0.021415553288534284]"
1,第1节　长度和时间的测量,下列长度单位换算正确的是(),"[-0.07923593744635582,-0.26820977265015244,-0.04264575755223632,-0.14990293351002038,0.08549118041992188]"
2,第1节　长度和时间的测量,"初中生小红想对比测量一个月前后自己的身高变化,选用下列哪种尺最合适()","[-0.008039933629333973,-0.20343961799517274,-0.061635409540031105,0.011067528743296862,0.048510019201785326]"
3,第1节　长度和时间的测量,如图所示测量木块长度的方法中正确的是(),"[-0.04186457809474733,-0.3207453654872046,0.020535511792533927,-0.09134323359467089,0.054709450652201966]"
4,第1节　长度和时间的测量,下列各个过程中经历的时间最接近1秒的是(),"[-0.16658607125282288,-0.22331467063890562,-0.10715015242911047,-0.07162313970426717,-0.05355645529925823]"
5,第1节　长度和时间的测量,"物理实验室中,常用的测量时间的工具是()","[-0.1145541225042608,-0.28111989920337993,0.03263080896188815,0.05825662468042638,-0.10512936746494637]"
6,第1节　长度和时间的测量,"图为小组同学学习长度测量后讨论交流的情境,下列关于误差说法中正确的是()","[-0.06380619015544653,-0.10921565662412082,-0.08515838719904423,-0.10575387358446331,0.16362768740338438]"
7,第1节　长度和时间的测量,"在测量物体长度时,由于下列原因造成测量结果有差异,其中属于误差的是()","[-0.0024713375023566186,-0.2880229090806097,0.029552251507993788,-0.1278037322917953,0.027972720185061917]"
8,第1节　长度和时间的测量,下列估计的数据与实际最接近的是(),"[-0.05363944050623104,-0.20332191372290254,-0.09954494680278003,-0.05793931649532169,0.020806896733120084]"
9,第1节　长度和时间的测量,"某同学测得物理课本长为25.91 cm,宽为18.35 cm,那么他所用刻度尺的分度值为()","[-0.03149333760580596,-0.16228996345992475,-0.05427236197625889,0.07370095300104688,-0.03387911886195926]"
10,第1节　长度和时间的测量,"(北京中考)中华人民共和国的国旗为长方形五星红旗,如图是天安门广场升旗仪式的场景,根据图片提供的信息估测...","[0.008726959655943669,-0.11691483691653334,-0.024455385454195108,0.013015435861521645,0.02463424784180365]"
11,第2节　运动的描述,"机械运动是自然界最普遍的一种运动,如图所示的各种运动中,不属于机械运动的是()","[-0.07137719665964444,-0.2175891905790195,-0.02635846558647851,-0.08576013481554885,0.10869659749247754]"
12,第2节　运动的描述,"关于参照物,下列说法正确的是()","[-0.15798095613718033,0.0064018639469785345,-0.4088452053921563,-0.25555263300027165,0.4551608268105026]"
13,第2节　运动的描述,"(长春中考)端午节当天,小明和爸爸、妈妈去南湖游玩,他们坐在行驶的船中,观赏南湖的景色,小明认为爸爸是运动...","[-0.014927923679351807,-0.13416751044463704,0.015181950801475483,0.009352362884039228,0.078839165518399]"
14,第2节　运动的描述,"(益阳中考)某大学两位研究生从蚂蚁身上得到启示,设计出如图所示的“都市蚂蚁”概念车.这款概念车...","[0.011173274237846366,-0.032579822882421706,-0.021068468444833628,-0.01485707520164157,0.032677236589063935]"
15,第2节　运动的描述,"关于运动和静止,下列说法正确的是()","[-0.19553663535043597,-0.18619387090438977,-0.29769546538591385,-0.3303601685911417,0.38570668682223186]"
16,第2节　运动的描述,下列说法正确的是(),"[-0.23100816607475283,-0.017105744127184155,-0.4745137304067612,-0.2738962382078171,0.4875912194605917]"
17,第2节　运动的描述,"(郴州中考)你也许有过这样的体验:甲、乙两列火车并排停在站台上,你坐在甲车车厢向乙车车厢观望,如图所示,突...","[0.033054079837165774,-0.14443868931848555,0.04304350810125471,0.01897470531985164,0.1048135367105715]"
18,第2节　运动的描述,"(武汉中考)2017年4月22日,天舟一号货运飞船与天宫二号空间实验室首次完成自动交会对接,如图所示,“天...","[-0.028162203950896147,-0.06444794615908038,-0.015922651537472292,0.0680332811815398,0.10927153318022777]"
19,第1节　长度和时间的测量,在下列数据后填上合适的单位. (1)教室的长度约为850_______ (2)一根头发的直径约为70_______,"[-0.0016514589352642787,-0.13779536470332565,0.09474086739561137,-0.0756986298433998,-0.035705049467437404]"
20,第1节　长度和时间的测量,"(株洲中考)图中刻度尺的分度值_______mm,木条的长度为_______cm.","[0.02438712745372738,-0.22017324077231543,0.03584589410041059,-0.019337683051292385,0.03365535355572189]"
21,第1节　长度和时间的测量,"市场上有一款PM2.5检测仪,它可测量空气中直径范围为0.3~2.5 μm的颗粒物浓度,即它可测出最小直径为_______m...","[0.017819871939718724,-0.12207303303293884,0.03450720871333033,-0.1126884189900011,-0.08993335366249085]"
22,第1节　长度和时间的测量,"(贵港中考)如图1所示,所测物体的长度是_______cm.如图2所示,停表显示的时间是_______s.","[-0.07285928922808832,-0.22607758765419322,-0.025558137024442353,0.06190392426732513,-0.029698704679807026]"
23,第1节　长度和时间的测量,"如图所示,用A、B两把刻度尺测量同一物体的长度,准确程度较高的是_______刻度尺,最接近物体长度真实值的读数...","[-0.01353734340518713,-0.2848009620909579,0.10046459513250738,-0.08831207524053752,-0.044908609334379436]"
24,第1节　长度和时间的测量,"同一长度的五次测量结果记录为:25.1 mm,25.2 mm,25.1 mm,27.2 mm,25.3 mm,其中记录明显错误的一次是_______...","[0.014391203969717025,-0.15086703397333623,0.03209467811509967,-0.02118400178849697,0.06571967668831348]"
25,第2节　运动的描述,"公路上飞驰而过的汽车、水里游动的鱼、天空飞翔的雄鹰,它们的位置都发生了_______物理学中称这种现象为____...","[0.007427665223884913,-0.0537755125357459,0.06236404139134619,-0.049392579433818654,0.15139102613708624]"
26,第2节　运动的描述,"在商场里,妈妈和5岁的小东正乘自动扶梯下楼.小东拉着妈妈的手说:“妈妈,我们跑下去吧!”妈妈说:&...","[0.04995307120095406,-0.18029350857250392,0.023763226478227546,-0.016111787275544232,0.08835426922554948]"
27,第2节　运动的描述,"(攀枝花中考)小华和妈妈在仁和区湿地公园骑双人自行车游玩,小华认为自己是静止的,他是以_______为参照物,但...","[0.02586400283402518,-0.12248607641576151,0.021245126612484455,-0.047652330886768665,0.06710585063372396]"
28,第2节　运动的描述,"“枯藤老树昏鸦,小桥流水人家”给人冷落暗淡的气氛,又显示出一种清新幽静的境界.如图所示,&ldquo...","[0.008335504862342906,-0.0780948289012646,-0.021247837993809405,0.006605442175093819,0.07285363669507205]"
29,第2节　运动的描述,"随着城市建设的加快,城市交通大为改善.在南京“中山北路”平直的快车道上,有三辆汽车正同向顺风...","[0.017878414235181276,-0.059047448862757944,0.10042964153560913,-0.03379974695336487,0.009020781949705754]"
30,第2节　运动的描述,"小明喜欢打篮球,更喜欢观看电视转播的CBA比赛.他发现:运动员始终处于电视屏幕上,但我们却感觉运动员在球场...","[0.030433929432183506,-0.023836665763519706,0.011891186470165849,0.04264466390013695,0.11166163022862748]"
31,第2节　运动的描述,"如图所示为学校运动会接力赛交接棒情景,小铭同学发现在4×100 m 的接力赛交接棒的过程中有两种交接方式: 第...","[-0.00849772938527167,-0.0285198142984882,-0.07535914103500546,0.03894959827885032,0.06008444981416688]"
32,章末复习,"(泉州中考)小蒋同学参加中考体育测试,结果最可能达到的是()","[0.10333740940460792,0.04284180643466803,-0.007964749104128435,0.17943339809202233,0.113350085555934]"
33,章末复习,"如图是用厚刻度尺测量木块的长度,其中正确的测量图是()","[0.020738148892467674,-0.16546923463994806,0.007894948802211067,-0.0012285845692862165,0.093125341121446]"
34,章末复习,"(扬州中考)如图所示,菲菲和翔翔坐在车厢内,观察判断火车的运动情况.菲菲:以窗外的动车为参照物,火车的位置...","[0.06508065655361861,-0.0145788359164726,-0.010690035577863456,0.08963719634339214,0.15815393034135924]"
